SEOUL (서울)
BUSAN (부산)
INCHEON (인천)
DAEGU (대구)
DAEJEON (대전)
GWANGJU (광주)
SUWON (수원)
ULSAN (울산)
CHANGWON (창원)
SEONGNAM (성남)
GOYANG (고양)
YONGIN (용인)
BUCHEON (부천)
CHEONGJU (청주)
ANSAN (안산)
JEONJU (전주)
CHEONAN (천안)
ANYANG (안양)
GIMHAE (김해)
POHANG (포항)
JEJU (제주)
UIJEONGBU (의정부)
GIMPO (김포)
HWASEONG (화성)
SEJONG (세종)
CHUNCHEON (춘천)
WONJU (원주)
IKSAN (익산)
GUNSAN (군산)
YEOSU (여수)
SUNCHEON (순천)
MOKPO (목포)
GANGNEUNG (강릉)
SOKCHO (속초)
ANDONG (안동)
GYEONGJU (경주)
SANGJU (상주)
GIMCHEON (김천)
MUNGYEONG (문경)
GONGJU (공주)
NONSAN (논산)
ASAN (아산)
BORYEONG (보령)
DANGJIN (당진)
CHUNGJU (충주)
JINJU (진주)
TONGYEONG (통영)
GEOJE (거제)
SACHEON (사천)
MIRYANG (밀양)
YANGJU (양주)
PAJU (파주)
HANAM (하남)
GWANGMYEONG (광명)
SIHEUNG (시흥)
OSAN (오산)
GUNPO (군포)
UIWANG (의왕)
YEOJU (여주)
DONGDUCHEON (동두천)
GWANGYANG (광양)
NAMWON (남원)
JEONGEUP (정읍)
GIMJE (김제)
WANJU (완주)
JINAN (진안)
MUJU (무주)
JANGSEONG (장성)
DAMYANG (담양)
GOKSEONG (곡성)
GOSEONG (고성)
HADONG (하동)
HAMAN (함안)
CHANGNYEONG (창녕)
UIRYEONG (의령)
HAPCHEON (합천)
YANGPYEONG (양평)
GAPYEONG (가평)
YEONCHEON (연천)
HWACHEON (화천)
YANGGU (양구)
INJE (인제)
JEONGSEON (정선)
PYEONGCHANG (평창)
TAEBAEK (태백)
SAMCHEOK (삼척)
DONGHAE (동해)
HONGCHEON (홍천)
HOENGSEONG (횡성)
YEONGWOL (영월)
GEOCHANG (거창)
NAMHAE (남해)
SANCHEONG (산청)
HAMYANG (함양)
BOSEONG (보성)
HAENAM (해남)
JINDO (진도)
WANDO (완도)
GANGJIN (강진)
YEONGAM (영암)
SINAN (신안)
MUAN (무안)
NAJU (나주)
HWASUN (화순)
GOHEUNG (고흥)
YEONGJU (영주)
BONGHWA (봉화)
ULJIN (울진)
YEONGYANG (영양)
CHEONGSONG (청송)
GUNWI (군위)
CHILGOK (칠곡)
YEONGDEOK (영덕)
SEONGJU (성주)
GORYEONG (고령)
CHEONGDO (청도)
UISEONG (의성)
GUMI (구미)
YEONGCHEON (영천)
GYEONGSAN (경산)
OKCHEON (옥천)
BOEUN (보은)
JECHON (제천)
DANYANG (단양)
EUMSEONG (음성)
JINCHEON (진천)
GOESAN (괴산)
YEONGDONG (영동)
SANSAM (삼삼)
ICHEON (이천)
ANSEONG (안성)
PYEONGTAEK (평택)
GYEYANG (계양)
GANGHWA (강화)
ONGSAN (옹산)
GWACHEON (과천)
Namyangju (남양주)
DONGHAE (동해)
GWANAK (관악)
YEONGTONG (영통)
